FID,FN,FDep,FArr,FDepD,FDepT,FArrT,FArrD,UDepD,UDepT,UArrT,UArrD,FFT,FTZD,Atype
35,2453,ELD,HOT,2,1175,1215,2,3,35,75,3,40,0,CNC
35,2453,ELD,HOT,3,1175,1215,3,4,35,75,4,40,0,CNC
35,2453,ELD,HOT,4,1175,1215,4,5,35,75,5,40,0,CNC
35,2453,ELD,HOT,5,1175,1215,5,6,35,75,6,40,0,CNC
39,2454,HOT,MEM,1,810,890,1,1,1110,1190,1,80,0,CNC
39,2454,HOT,MEM,2,810,890,2,2,1110,1190,2,80,0,CNC
39,2454,HOT,MEM,3,810,890,3,3,1110,1190,3,80,0,CNC
39,2454,HOT,MEM,4,810,890,4,4,1110,1190,4,80,0,CNC
39,2454,HOT,MEM,5,810,890,5,5,1110,1190,5,80,0,CNC
43,2455,MEM,HOT,1,750,830,1,1,1050,1130,1,80,0,CNC
43,2455,MEM,HOT,2,750,830,2,2,1050,1130,2,80,0,CNC
43,2455,MEM,HOT,3,750,830,3,3,1050,1130,3,80,0,CNC
43,2455,MEM,HOT,4,750,830,4,4,1050,1130,4,80,0,CNC
43,2455,MEM,HOT,5,750,830,5,5,1050,1130,5,80,0,CNC
47,2456,HOT,MEM,1,1230,1310,1,2,90,170,2,80,0,CNC
47,2456,HOT,MEM,2,1230,1310,2,3,90,170,3,80,0,CNC
47,2456,HOT,MEM,3,1230,1310,3,4,90,170,4,80,0,CNC
47,2456,HOT,MEM,4,1230,1310,4,5,90,170,5,80,0,CNC
47,2456,HOT,MEM,5,1230,1310,5,6,90,170,6,80,0,CNC
51,2457,MEM,HOT,1,330,410,1,1,630,710,1,80,0,CNC
51,2457,MEM,HOT,2,330,410,2,2,630,710,2,80,0,CNC
51,2457,MEM,HOT,3,330,410,3,3,630,710,3,80,0,CNC
51,2457,MEM,HOT,4,330,410,4,4,630,710,4,80,0,CNC
51,2457,MEM,HOT,5,330,410,5,5,630,710,5,80,0,CNC
55,2650,HOT,ELD,6,605,645,6,6,905,945,6,40,0,CNC
60,2650,ELD,IAH,6,660,770,6,6,960,1070,6,110,0,CNC
64,2650,HOT,ELD,7,640,680,7,7,940,980,7,40,0,CNC
69,2650,ELD,IAH,7,695,810,7,7,995,1110,7,115,0,CNC
73,2651,IAH,ELD,6,810,920,6,6,1110,1220,6,110,0,CNC
78,2651,ELD,HOT,6,935,965,6,6,1235,1265,6,30,0,CNC
82,2651,IAH,ELD,7,845,955,7,7,1145,1255,7,110,0,CNC
87,2651,ELD,HOT,7,970,1010,7,7,1270,1310,7,40,0,CNC
91,2654,HOT,MEM,6,980,1060,6,6,1280,1360,6,80,0,CNC
95,2654,HOT,MEM,7,1025,1105,7,7,1325,1405,7,80,0,CNC
99,2657,MEM,HOT,6,510,590,6,6,810,890,6,80,0,CNC
103,2657,MEM,HOT,7,540,620,7,7,840,920,7,80,0,CNC
107,3312,PDX,PDT,1,420,500,1,1,840,920,1,80,0,CNC
107,3312,PDX,PDT,2,420,500,2,2,840,920,2,80,0,CNC
107,3312,PDX,PDT,3,420,500,3,3,840,920,3,80,0,CNC
107,3312,PDX,PDT,4,420,500,4,4,840,920,4,80,0,CNC
107,3312,PDX,PDT,5,420,500,5,5,840,920,5,80,0,CNC
111,3314,PDX,PDT,1,635,715,1,1,1055,1135,1,80,0,CNC
111,3314,PDX,PDT,2,635,715,2,2,1055,1135,2,80,0,CNC
111,3314,PDX,PDT,3,635,715,3,3,1055,1135,3,80,0,CNC
111,3314,PDX,PDT,4,635,715,4,4,1055,1135,4,80,0,CNC
111,3314,PDX,PDT,5,635,715,5,5,1055,1135,5,80,0,CNC
115,3316,PDX,PDT,1,920,1000,1,1,1340,1420,1,80,0,CNC
115,3316,PDX,PDT,2,920,1000,2,2,1340,1420,2,80,0,CNC
115,3316,PDX,PDT,3,920,1000,3,3,1340,1420,3,80,0,CNC
115,3316,PDX,PDT,4,920,1000,4,4,1340,1420,4,80,0,CNC
115,3316,PDX,PDT,5,920,1000,5,5,1340,1420,5,80,0,CNC
119,3318,PDX,PDT,1,1135,1215,1,2,115,195,2,80,0,CNC
119,3318,PDX,PDT,2,1135,1215,2,3,115,195,3,80,0,CNC
119,3318,PDX,PDT,3,1135,1215,3,4,115,195,4,80,0,CNC
119,3318,PDX,PDT,4,1135,1215,4,5,115,195,5,80,0,CNC
119,3318,PDX,PDT,5,1135,1215,5,6,115,195,6,80,0,CNC
119,3318,PDX,PDT,7,1135,1215,7,1,115,195,1,80,0,CNC
123,3318,PDX,PDT,3,1220,1300,3,4,200,280,4,80,0,CNC
123,3318,PDX,PDT,5,1220,1300,5,6,200,280,6,80,0,CNC
127,3318,PDX,PDT,4,1135,1215,4,5,115,195,5,80,0,CNC
131,3318,PDX,PDT,1,1135,1215,1,2,115,195,2,80,0,CNC
131,3318,PDX,PDT,2,1135,1215,2,3,115,195,3,80,0,CNC
131,3318,PDX,PDT,3,1135,1215,3,4,115,195,4,80,0,CNC
131,3318,PDX,PDT,4,1135,1215,4,5,115,195,5,80,0,CNC
131,3318,PDX,PDT,5,1135,1215,5,6,115,195,6,80,0,CNC
131,3318,PDX,PDT,7,1135,1215,7,1,115,195,1,80,0,CNC
135,3321,PDT,PDX,1,315,395,1,1,735,815,1,80,0,CNC
135,3321,PDT,PDX,2,315,395,2,2,735,815,2,80,0,CNC
135,3321,PDT,PDX,3,315,395,3,3,735,815,3,80,0,CNC
135,3321,PDT,PDX,4,315,395,4,4,735,815,4,80,0,CNC
135,3321,PDT,PDX,5,315,395,5,5,735,815,5,80,0,CNC
139,3323,PDT,PDX,1,525,605,1,1,945,1025,1,80,0,CNC
139,3323,PDT,PDX,2,525,605,2,2,945,1025,2,80,0,CNC
139,3323,PDT,PDX,3,525,605,3,3,945,1025,3,80,0,CNC
139,3323,PDT,PDX,4,525,605,4,4,945,1025,4,80,0,CNC
139,3323,PDT,PDX,5,525,605,5,5,945,1025,5,80,0,CNC
143,3325,PDT,PDX,1,740,820,1,1,1160,1240,1,80,0,CNC
143,3325,PDT,PDX,2,740,820,2,2,1160,1240,2,80,0,CNC
143,3325,PDT,PDX,3,740,820,3,3,1160,1240,3,80,0,CNC
143,3325,PDT,PDX,4,740,820,4,4,1160,1240,4,80,0,CNC
143,3325,PDT,PDX,5,740,820,5,5,1160,1240,5,80,0,CNC
147,3327,PDT,PDX,1,1025,1105,1,2,5,85,2,80,0,CNC
147,3327,PDT,PDX,2,1025,1105,2,3,5,85,3,80,0,CNC
147,3327,PDT,PDX,3,1025,1105,3,4,5,85,4,80,0,CNC
147,3327,PDT,PDX,4,1025,1105,4,5,5,85,5,80,0,CNC
147,3327,PDT,PDX,5,1025,1105,5,6,5,85,6,80,0,CNC
151,3327,PDT,PDX,3,1110,1190,3,4,90,170,4,80,0,CNC
151,3327,PDT,PDX,5,1110,1190,5,6,90,170,6,80,0,CNC
155,3327,PDT,PDX,4,1025,1105,4,5,5,85,5,80,0,CNC
159,3327,PDT,PDX,1,1025,1105,1,2,5,85,2,80,0,CNC
159,3327,PDT,PDX,2,1025,1105,2,3,5,85,3,80,0,CNC
159,3327,PDT,PDX,3,1025,1105,3,4,5,85,4,80,0,CNC
159,3327,PDT,PDX,4,1025,1105,4,5,5,85,5,80,0,CNC
159,3327,PDT,PDX,5,1025,1105,5,6,5,85,6,80,0,CNC
163,3328,PDT,PDX,7,790,870,7,7,1270,1350,7,80,0,CNC
167,3328,PDT,PDX,7,790,870,7,7,1210,1290,7,80,0,CNC
171,3329,PDT,PDX,6,390,470,6,6,810,890,6,80,0,CNC
175,3339,PDX,PDT,7,685,765,7,7,1165,1245,7,80,0,CNC
179,3339,PDX,PDT,7,685,765,7,7,1105,1185,7,80,0,CNC
183,4125,MEM,HRO,1,920,1005,1,1,1220,1305,1,85,0,CNC
183,4125,MEM,HRO,2,920,1005,2,2,1220,1305,2,85,0,CNC
183,4125,MEM,HRO,3,920,1005,3,3,1220,1305,3,85,0,CNC
183,4125,MEM,HRO,4,920,1005,4,4,1220,1305,4,85,0,CNC
183,4125,MEM,HRO,5,920,1005,5,5,1220,1305,5,85,0,CNC
183,4125,MEM,HRO,7,920,1005,7,7,1220,1305,7,85,0,CNC
187,4126,HRO,MEM,1,1030,1110,1,1,1330,1410,1,80,0,CNC
187,4126,HRO,MEM,2,1030,1110,2,2,1330,1410,2,80,0,CNC
187,4126,HRO,MEM,3,1030,1110,3,3,1330,1410,3,80,0,CNC
187,4126,HRO,MEM,4,1030,1110,4,4,1330,1410,4,80,0,CNC
187,4126,HRO,MEM,5,1030,1110,5,5,1330,1410,5,80,0,CNC
187,4126,HRO,MEM,7,1030,1110,7,7,1330,1410,7,80,0,CNC
191,4127,MEM,HRO,1,500,585,1,1,800,885,1,85,0,CNC
191,4127,MEM,HRO,2,500,585,2,2,800,885,2,85,0,CNC
191,4127,MEM,HRO,3,500,585,3,3,800,885,3,85,0,CNC
191,4127,MEM,HRO,4,500,585,4,4,800,885,4,85,0,CNC
191,4127,MEM,HRO,5,500,585,5,5,800,885,5,85,0,CNC
195,4128,HRO,MEM,1,615,695,1,1,915,995,1,80,0,CNC
195,4128,HRO,MEM,2,615,695,2,2,915,995,2,80,0,CNC
195,4128,HRO,MEM,3,615,695,3,3,915,995,3,80,0,CNC
195,4128,HRO,MEM,4,615,695,4,4,915,995,4,80,0,CNC
195,4128,HRO,MEM,5,615,695,5,5,915,995,5,80,0,CNC
199,4311,HRO,MEM,1,390,470,1,1,690,770,1,80,0,CNC
199,4311,HRO,MEM,2,390,470,2,2,690,770,2,80,0,CNC
199,4311,HRO,MEM,3,390,470,3,3,690,770,3,80,0,CNC
199,4311,HRO,MEM,4,390,470,4,4,690,770,4,80,0,CNC
199,4311,HRO,MEM,5,390,470,5,5,690,770,5,80,0,CNC
199,4311,HRO,MEM,6,390,470,6,6,690,770,6,80,0,CNC
203,4311,HRO,MEM,1,390,470,1,1,690,770,1,80,0,CNC
203,4311,HRO,MEM,2,390,470,2,2,690,770,2,80,0,CNC
203,4311,HRO,MEM,3,390,470,3,3,690,770,3,80,0,CNC
203,4311,HRO,MEM,4,390,470,4,4,690,770,4,80,0,CNC
203,4311,HRO,MEM,5,390,470,5,5,690,770,5,80,0,CNC
207,4311,HRO,MEM,1,390,470,1,1,750,830,1,80,0,CNC
207,4311,HRO,MEM,2,390,470,2,2,750,830,2,80,0,CNC
207,4311,HRO,MEM,3,390,470,3,3,750,830,3,80,0,CNC
207,4311,HRO,MEM,4,390,470,4,4,750,830,4,80,0,CNC
207,4311,HRO,MEM,5,390,470,5,5,750,830,5,80,0,CNC
211,4315,MEM,HRO,6,990,1070,6,6,1290,1370,6,80,0,CNC
215,4316,MEM,HRO,1,1135,1220,1,1,1435,80,2,85,0,CNC
215,4316,MEM,HRO,2,1135,1220,2,2,1435,80,3,85,0,CNC
215,4316,MEM,HRO,3,1135,1220,3,3,1435,80,4,85,0,CNC
215,4316,MEM,HRO,4,1135,1220,4,4,1435,80,5,85,0,CNC
215,4316,MEM,HRO,5,1135,1220,5,5,1435,80,6,85,0,CNC
215,4316,MEM,HRO,7,1135,1220,7,7,1435,80,1,85,0,CNC
219,4317,HRO,MEM,7,490,570,7,7,790,870,7,80,0,CNC
223,4329,HRO,MEM,5,1235,1315,5,6,95,175,6,80,0,CNC
