t01_smooth_or_features_a01_smooth_count,t01_smooth_or_features_a01_smooth_weight,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a01_smooth_weighted_fraction,t01_smooth_or_features_a01_smooth_debiased,t01_smooth_or_features_a02_features_or_disk_count,t01_smooth_or_features_a02_features_or_disk_weight,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a02_features_or_disk_weighted_fraction,t01_smooth_or_features_a02_features_or_disk_debiased,target
33,32.686,0.868,0.867,0.867,4,4,0.105,0.106,0.106,0
35,35,0.921,0.941,0.941,2,2,0.053,0.054,0.054,0
35,35,0.875,0.875,0.875,5,5,0.125,0.125,0.125,0
23,23,0.885,0.885,0.885,3,3,0.115,0.115,0.115,0
39,39,0.886,0.886,0.80069184,4,4,0.091,0.091,0.091,0
40,39.656,0.851,0.859,0.859,5,5,0.106,0.108,0.108,0
38,38,0.884,0.884,0.884,2,2,0.047,0.047,0.047,0
47,47,0.887,0.887,0.9273739,4,4,0.075,0.075,0.075,0
33,33,0.75,0.75,0.80987495,9,9,0.205,0.205,0.205,0
31,31,0.912,0.934,0.9080907,3,2.205,0.088,0.066,0.066,0
41,40.582,0.745,0.798,0.86150837,10,10,0.182,0.197,0.1968032,0
39,39,0.867,0.867,0.867,3,3,0.067,0.067,0.067,0
40,40,0.833,0.86,0.8843738,5,5,0.104,0.107,0.107,0
32,32,0.842,0.861,0.861,4,4,0.105,0.108,0.108,0
46,46,0.885,0.902,0.902,4,4,0.077,0.078,0.078,0
39,39,0.886,0.886,0.886,4,4,0.091,0.091,0.091,0
43,43,0.878,0.878,0.89929736,5,5,0.102,0.102,0.102,0
34,34,0.756,0.756,0.8826423,11,11,0.244,0.244,0.244,0
28,28,0.824,0.845,0.8537033,1,1,0.029,0.03,0.030030029,0
37,36.707,0.822,0.849,0.8780597,6,5.456,0.133,0.126,0.126,0
29,29,0.806,0.806,0.806,7,7,0.194,0.194,0.194,0
31,31,0.775,0.791,0.8281152,8,8,0.2,0.204,0.2042042,0
29,29,0.853,0.853,0.880812,5,5,0.147,0.147,0.147,0
42,42,0.824,0.824,0.8084318,5,5,0.098,0.098,0.098,0
40,40,0.889,0.889,0.889,4,4,0.089,0.089,0.089,0
34,34,0.773,0.809,0.809,4,4,0.091,0.095,0.095,0
41,41,0.932,0.932,0.932,1,1,0.023,0.023,0.023,0
34,33.255,0.919,0.917,0.917,1,1,0.027,0.028,0.028,0
31,31,0.886,0.886,0.886,3,3,0.086,0.086,0.086,0
40,40,0.833,0.833,0.833,3,3,0.062,0.062,0.062,0
36,36,0.818,0.818,0.84324974,5,5,0.114,0.114,0.114,0
33,33,0.825,0.825,0.80522144,5,5,0.125,0.125,0.125,0
44,44,0.8,0.841,0.91193366,7,7,0.127,0.134,0.134,0
29,29,0.744,0.763,0.8555718,7,7,0.179,0.184,0.184,0
31,31,0.886,0.893,0.8711572,2,2,0.057,0.058,0.058,0
39,38.08,0.907,0.905,0.905,4,4,0.093,0.095,0.095,0
31,31,0.861,0.861,0.861,3,3,0.083,0.083,0.083,0
31,30.296,0.838,0.844,0.844,5,4.618,0.135,0.129,0.129,0
33,33,0.846,0.846,0.846,4,4,0.103,0.103,0.103,0
35,35,0.833,0.833,0.8433804,3,3,0.071,0.071,0.07107107,0
40,40,0.833,0.856,0.83518374,5,5,0.104,0.107,0.107,0
38,37.556,0.844,0.843,0.843,6,6,0.133,0.135,0.135,0
30,30,0.789,0.805,0.805,5,5,0.132,0.134,0.134,0
44,44,0.917,0.917,0.917,3,3,0.062,0.062,0.062,0
35,34.492,0.833,0.853,0.81596243,5,4.227,0.119,0.105,0.105,0
44,44,0.88,0.88,0.88,4,4,0.08,0.08,0.08,0
38,38,0.905,0.905,0.905,1,1,0.024,0.024,0.024,0
39,39,0.867,0.896,0.8920077,4,4,0.089,0.092,0.092,0
39,37.613,0.975,0.974,0.9818239,1,1,0.025,0.026,0.026,0
38,38,0.905,0.945,0.9250061,2,2,0.048,0.05,0.05,0
38,38,0.864,0.864,0.864,4,4,0.091,0.091,0.091,0
34,34,0.85,0.871,0.871,4,4,0.1,0.103,0.103,0
37,37,0.902,0.902,0.8749061,3,3,0.073,0.073,0.073073074,0
37,37,0.86,0.86,0.86,4,4,0.093,0.093,0.093,0
40,40,0.889,0.889,0.8774478,3,3,0.067,0.067,0.067,0
30,30,0.833,0.833,0.8586363,5,5,0.139,0.139,0.139,0
37,37,0.841,0.849,0.849,5,5,0.114,0.115,0.115,0
38,38,0.792,0.807,0.807,5,4.06,0.104,0.086,0.086,0
34,34,0.756,0.793,0.8099906,4,4,0.089,0.093,0.0930931,0
29,29,0.763,0.809,0.809,6,5.795,0.158,0.162,0.162,0
39,38.273,0.886,0.892,0.892,1,1,0.023,0.023,0.023,0
40,40,0.851,0.851,0.851,3,3,0.064,0.064,0.064,0
33,32.449,0.825,0.848,0.8054226,5,4.707,0.125,0.123,0.123123124,0
37,37,0.902,0.911,0.915124,2,2,0.049,0.049,0.049,0
30,30,0.682,0.682,0.82985216,14,14,0.318,0.318,0.318,0
40,40,0.851,0.851,0.851,5,5,0.106,0.106,0.106,0
32,32,0.78,0.815,0.815,6,5.182,0.146,0.132,0.132,0
43,43,0.935,0.935,0.95863324,3,3,0.065,0.065,0.065,0
40,40,0.816,0.816,0.8222006,4,4,0.082,0.082,0.082,0
32,32,0.914,0.936,0.93064404,1,1,0.029,0.029,0.029029028,0
33,33,0.846,0.846,0.846,6,6,0.154,0.154,0.154,0
35,35,0.875,0.875,0.875,2,2,0.05,0.05,0.05,0
38,38,0.905,0.947,0.94823194,1,1,0.024,0.025,0.024975024,0
33,33,0.868,0.868,0.868,2,2,0.053,0.053,0.053,0
39,39,0.886,0.886,0.884072,3,3,0.068,0.068,0.06806807,0
35,35,0.833,0.833,0.833,7,7,0.167,0.167,0.167,0
39,39,0.848,0.848,0.9088677,6,6,0.13,0.13,0.13,0
37,36.14,0.881,0.878,0.87633413,2,2,0.048,0.049,0.049,0
28,28,0.875,0.875,0.8165438,2,2,0.062,0.062,0.062062062,0
34,34,0.895,0.902,0.83810914,2,1.696,0.053,0.045,0.045,0
47,46.591,0.839,0.869,0.8336932,5,5,0.089,0.093,0.093,0
31,30.656,0.861,0.883,0.883,0,0,0,0,0,0
40,40,0.833,0.851,0.851,2,2,0.042,0.043,0.043,0
32,32,0.842,0.842,0.842,4,4,0.105,0.105,0.105,0
38,38,0.974,0.974,0.9637345,1,1,0.026,0.026,0.026,0
38,38,0.826,0.826,0.826,5,5,0.109,0.109,0.109,0
35,34.354,0.897,0.896,0.9168501,4,4,0.103,0.104,0.104,0
43,41.18,0.768,0.789,0.81366986,9,9,0.161,0.172,0.172,0
34,34,0.872,0.872,0.8541534,2,2,0.051,0.051,0.051,0
29,29,0.829,0.851,0.86112714,4,4,0.114,0.117,0.117117114,0
37,37,0.902,0.902,0.86718345,4,4,0.098,0.098,0.098,0
35,35,0.833,0.833,0.833,5,5,0.119,0.119,0.119,0
39,39,0.929,0.929,0.941956,1,1,0.024,0.024,0.023976024,0
38,38,0.826,0.86,0.9066596,6,6,0.13,0.136,0.13586414,0
36,36,0.9,0.9,0.8898694,1,1,0.025,0.025,0.025,0
37,37,0.881,0.919,0.8448165,3,3,0.071,0.075,0.075,0
36,36,0.8,0.8,0.81914914,4,4,0.089,0.089,0.089,0
34,34,0.872,0.872,0.8832663,2,2,0.051,0.051,0.051,0
42,42,0.913,0.913,0.82859904,4,4,0.087,0.087,0.087,0
38,38,0.927,0.927,0.8971757,3,3,0.073,0.073,0.073,0
36,36,0.947,0.947,0.937239,2,2,0.053,0.053,0.053,0
31,31,0.795,0.814,0.814,5,5,0.128,0.131,0.131,0
34,34,0.829,0.829,0.82515144,6,6,0.146,0.146,0.14614615,0
34,34,0.919,0.919,0.919,3,3,0.081,0.081,0.081,0
41,41,0.854,0.854,0.854,5,5,0.104,0.104,0.104,0
48,48,0.873,0.888,0.9057218,6,6,0.109,0.111,0.111,0
30,30,0.833,0.833,0.833,6,6,0.167,0.167,0.167,0
34,34,0.85,0.85,0.8496888,4,4,0.1,0.1,0.1,0
36,36,0.857,0.857,0.8071059,6,6,0.143,0.143,0.143,0
37,37,0.841,0.848,0.8681216,5,4.628,0.114,0.106,0.106,0
41,41,0.932,0.932,0.932,3,3,0.068,0.068,0.068,0
37,37,0.881,0.881,0.8648551,4,4,0.095,0.095,0.095,0
44,44,0.917,0.917,0.9336453,4,4,0.083,0.083,0.083,0
26,26,0.722,0.722,0.81589216,7,7,0.194,0.194,0.1941942,0
42,42,0.875,0.875,0.86683816,1,1,0.021,0.021,0.021,0
34,34,0.773,0.773,0.8419243,10,10,0.227,0.227,0.227,0
27,27,0.75,0.814,0.83480275,2,2,0.056,0.06,0.06,0
38,38,0.927,0.927,0.89078325,1,1,0.024,0.024,0.024,0
36,36,0.878,0.88,0.88,2,2,0.049,0.049,0.049,0
34,34,0.829,0.829,0.829,6,6,0.146,0.146,0.146,0
37,37,0.841,0.859,0.85436416,5,5,0.114,0.116,0.116,0
44,44,0.917,0.923,0.923,3,3,0.062,0.063,0.063,0
44,44,0.863,0.863,0.863,3,3,0.059,0.059,0.059,0
35,35,0.854,0.875,0.91537035,3,3,0.073,0.075,0.075,0
42,42,0.933,0.941,0.941,2,2,0.044,0.045,0.045,0
40,40,0.851,0.851,0.851,6,6,0.128,0.128,0.128,0
34,32.823,0.85,0.845,0.80619,3,3,0.075,0.077,0.085966416,0
34,32.724,0.791,0.784,0.8239645,8,8,0.186,0.192,0.192,0
40,40,0.87,0.87,0.87,4,4,0.087,0.087,0.087,0
41,41,0.911,0.952,0.9259806,2,1.035,0.044,0.024,0.024,0
35,35,0.875,0.875,0.85402274,5,5,0.125,0.125,0.125,0
38,37.383,0.905,0.903,0.9079159,2,2,0.048,0.048,0.04804805,0
38,38,0.844,0.844,0.83759564,2,2,0.044,0.044,0.044044044,0
39,38.073,0.83,0.844,0.844,5,5,0.106,0.111,0.111,0
32,32,0.865,0.865,0.8542547,2,2,0.054,0.054,0.054,0
26,26,0.963,0.963,0.9841544,1,1,0.037,0.037,0.037,0
39,38.515,0.812,0.828,0.83128744,2,2,0.042,0.043,0.043,0
28,28,0.8,0.839,0.839,4,4,0.114,0.12,0.12,0
38,37.188,0.974,0.974,0.974,1,1,0.026,0.026,0.026,0
33,32.343,0.805,0.802,0.80068916,7,7,0.171,0.174,0.17382617,0
33,33,0.846,0.885,0.8538927,3,3,0.077,0.08,0.08,0
31,31,0.838,0.859,0.859,4,4,0.108,0.111,0.111,0
31,31,0.861,0.861,0.861,2,2,0.056,0.056,0.056,0
34,34,0.85,0.85,0.81654733,4,4,0.1,0.1,0.1,0
42,42,0.894,0.911,0.93669826,2,2,0.043,0.043,0.043043043,0
37,37,0.787,0.804,0.804,7,7,0.149,0.152,0.152,0
37,37,0.841,0.841,0.841,6,6,0.136,0.136,0.136,0
26,26,0.703,0.722,0.8337591,10,10,0.27,0.278,0.278,0
37,37,0.881,0.881,0.881,3,3,0.071,0.071,0.071,0
37,37,0.822,0.828,0.828,7,6.707,0.156,0.15,0.15,0
47,47,0.825,0.837,0.8439076,5,5,0.088,0.089,0.089,0
44,44,0.898,0.898,0.86881304,4,4,0.082,0.082,0.082,0
39,39,0.907,0.907,0.83933276,2,2,0.047,0.047,0.046953045,0
36,34.891,0.837,0.833,0.81496567,4,4,0.093,0.095,0.095,0
32,32,0.8,0.82,0.82584834,3,3,0.075,0.077,0.077,0
32,32,0.821,0.852,0.86198974,2,2,0.051,0.053,0.053,0
33,33,0.917,0.917,0.92082167,2,2,0.056,0.056,0.05594406,0
29,29,0.725,0.74,0.84606576,11,10.167,0.275,0.26,0.26,0
39,39,0.83,0.83,0.83,4,4,0.085,0.085,0.085,0
41,41,0.804,0.804,0.804,7,7,0.137,0.137,0.137,0
39,39,0.867,0.867,0.867,4,4,0.089,0.089,0.089,0
30,30,0.833,0.85,0.85,4,4,0.111,0.113,0.113,0
42,42,0.933,0.933,0.92916757,1,1,0.022,0.022,0.022022022,0
19,19,0.704,0.704,0.85236096,8,8,0.296,0.296,0.296,0
29,29,0.829,0.829,0.829,4,4,0.114,0.114,0.114,0
30,30,0.938,0.941,0.941,1,1,0.031,0.031,0.031,0
36,36,0.878,0.878,0.878,3,3,0.073,0.073,0.073,0
39,39,0.812,0.812,0.8088863,6,6,0.125,0.125,0.12512513,0
32,32,0.889,0.889,0.90513706,3,3,0.083,0.083,0.083,0
39,39,0.83,0.83,0.83,8,8,0.17,0.17,0.17,0
32,32,0.78,0.8,0.90501297,6,6,0.146,0.15,0.15,0
34,34,0.895,0.895,0.91974545,3,3,0.079,0.079,0.079,0
37,37,0.86,0.86,0.85621035,5,5,0.116,0.116,0.116116114,0
39,39,0.907,0.907,0.91109025,1,1,0.023,0.023,0.023,0
29,29,0.853,0.853,0.8853584,3,3,0.088,0.088,0.088,0
32,32,0.941,0.941,0.9553133,1,1,0.029,0.029,0.029029028,0
37,37,0.902,0.902,0.83022666,3,3,0.073,0.073,0.073073074,0
32,32,0.8,0.8,0.8,6,6,0.15,0.15,0.15,0
41,41,0.932,0.932,0.9238309,2,2,0.045,0.045,0.045,0
41,41,0.872,0.891,0.89911413,5,5,0.106,0.109,0.10889111,0
36,36,0.837,0.837,0.86553127,6,6,0.14,0.14,0.22801107,0
35,35,0.778,0.778,0.87618005,9,9,0.2,0.2,0.2,0
39,39,0.907,0.907,0.810847,3,3,0.07,0.07,0.07,0
39,39,0.886,0.886,0.88681805,3,3,0.068,0.068,0.06806807,0
39,39,0.907,0.925,0.9040053,3,2.158,0.07,0.051,0.051,0
30,30,0.789,0.789,0.83024776,8,8,0.211,0.211,0.3316874,0
35,35,0.854,0.889,0.889,4,4,0.098,0.102,0.102,0
32,32,0.8,0.863,0.87974834,4,4,0.1,0.108,0.108,0
36,36,0.947,0.947,0.947,2,2,0.053,0.053,0.053,0
30,30,0.811,0.832,0.9121573,5,5,0.135,0.139,0.13886113,0
43,42.435,0.811,0.809,0.809,9,9,0.17,0.172,0.172,0
33,33,0.733,0.737,0.8273738,12,11.783,0.267,0.263,0.263,0
36,35.147,0.9,0.898,0.898,3,3,0.075,0.077,0.077,0
38,38,0.844,0.844,0.9070552,6,6,0.133,0.133,0.13313314,0
38,37.54,0.905,0.904,0.904,0,0,0,0,0,0
22,22,0.846,0.846,0.8247321,3,3,0.115,0.115,0.11511511,0
35,35,0.814,0.824,0.8558958,7,6.5,0.163,0.153,0.15284716,0
39,38.073,0.848,0.845,0.845,4,4,0.087,0.089,0.089,0
34,33.343,0.944,0.943,0.9494015,1,1,0.028,0.028,0.028028028,0
37,37,0.841,0.875,0.8960295,4,4,0.091,0.095,0.09490509,0
37,37,0.902,0.902,0.803445,3,3,0.073,0.073,0.073073074,0
39,39,0.848,0.884,0.8473885,2,2,0.043,0.045,0.045,0
43,43,0.915,0.915,0.923106,3,3,0.064,0.064,0.064,0
43,43,0.811,0.824,0.824,7,7,0.132,0.134,0.134,0
32,32,0.941,0.967,0.95884556,1,1,0.029,0.03,0.030030029,0
33,33,0.805,0.836,0.836,4,4,0.098,0.101,0.101,0
32,32,0.842,0.863,0.8264337,4,4,0.105,0.108,0.108,0
37,37,0.86,0.86,0.8792534,4,4,0.093,0.093,0.154127,0
38,38,0.792,0.792,0.86042243,8,8,0.167,0.167,0.16683316,0
32,31.36,0.889,0.887,0.887,3,3,0.083,0.085,0.085,0
31,31,0.861,0.884,0.8403739,4,4,0.111,0.114,0.114,0
29,29,0.784,0.784,0.8287724,8,8,0.216,0.216,0.216,0
37,37,0.804,0.804,0.8294404,8,8,0.174,0.174,0.174,0
38,38,0.905,0.905,0.83427715,3,3,0.071,0.071,0.14218314,0
35,34.761,0.897,0.897,0.92071843,4,4,0.103,0.103,0.103,0
34,34,0.85,0.883,0.80911,3,3,0.075,0.078,0.078,0
36,35.073,0.9,0.911,0.9000974,2,2,0.05,0.052,0.052,0
36,36,0.8,0.836,0.835645,5,5,0.111,0.116,0.116,0
46,46,0.868,0.868,0.84605473,7,7,0.132,0.132,0.132,0
28,28,0.824,0.824,0.824,3,3,0.088,0.088,0.088,0
42,42,0.933,0.933,0.933,1,1,0.022,0.022,0.022,0
33,32.383,0.846,0.859,0.859,4,4,0.103,0.106,0.106,0
35,35,0.854,0.854,0.8605726,2,2,0.049,0.049,0.04895105,0
42,42,0.913,0.913,0.9225507,3,3,0.065,0.065,0.065,0
36,36,0.9,0.9,0.8460092,4,4,0.1,0.1,0.112362735,0
38,37.628,0.844,0.862,0.862,5,5,0.111,0.115,0.115,0
40,40,0.87,0.87,0.8805107,4,4,0.087,0.087,0.087,0
31,31,0.816,0.857,0.857,5,5,0.132,0.138,0.138,0
37,37,0.925,0.946,0.8667142,3,2.099,0.075,0.054,0.054,0
35,35,0.814,0.814,0.8990676,7,7,0.163,0.163,0.163,0
32,32,0.78,0.819,0.815923,4,4,0.098,0.102,0.1021021,0
33,33,0.846,0.891,0.891,2,2,0.051,0.054,0.054,0
40,40,0.833,0.844,0.8944946,7,7,0.146,0.148,0.14785215,0
